Tanggal,Forecast,Lower_CI,Upper_CI
2025-01-01,4061715.300281565,3231899.365416489,4891531.235146642
2025-02-01,4406623.560043556,3143536.837835637,5669710.282251474
2025-03-01,4364838.657906915,2722883.225645278,6006794.0901685525
2025-04-01,4417056.215148253,2426261.920929772,6407850.509366735
2025-05-01,4713156.860558675,2395698.23351675,7030615.487600599
2025-06-01,4941238.027301225,2315595.961410015,7566880.093192435
2025-07-01,5347019.728674582,2429415.7193899457,8264623.737959219
2025-08-01,5438560.004174631,2243557.6145211738,8633562.393828088
2025-09-01,5203037.807443912,1743844.8955593305,8662230.719328493
2025-10-01,4876696.113194378,1165347.8149428745,8588044.411445882
2025-11-01,4511064.011498136,558553.7689072634,8463574.254089009
2025-12-01,5102860.790044227,919246.1109853592,9286475.469103094
